date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-08-30,10.0,,7.0,10.0,13.0,180036.0,362,19
2022-08-29,12.0,0.0,2.0,4.0,3.0,180036.0,276,3
2022-08-28,8.0,0.0,4.0,14.0,24.0,180036.0,172,35
2022-08-27,15.0,0.0,1.0,6.0,15.0,180036.0,246,84
2022-08-26,9.0,0.0,1.0,4.0,2.0,180036.0,241,6
2022-08-25,9.0,0.0,0.0,16.0,26.0,180036.0,380,25
2022-08-24,10.0,0.0,0.0,1.0,10.0,180036.0,385,89
2022-08-23,13.0,2.0,2.0,10.0,18.0,180036.0,347,51
2022-08-22,12.0,0.0,1.0,1.0,5.0,180036.0,515,50
2022-08-21,16.0,0.0,3.0,11.0,11.0,180036.0,277,60
2022-08-20,6.0,0.0,1.0,13.0,14.0,180036.0,269,83
2022-08-19,14.0,0.0,1.0,1.0,9.0,180036.0,310,52
2022-08-18,8.0,0.0,7.0,12.0,26.0,180036.0,397,58
2022-08-17,16.0,1.0,1.0,8.0,12.0,180036.0,455,161
2022-08-16,12.0,0.0,5.0,5.0,7.0,180036.0,412,76
2022-08-15,13.0,0.0,5.0,8.0,15.0,180036.0,572,91
2022-08-14,17.0,0.0,7.0,6.0,37.0,180036.0,292,66
2022-08-13,13.0,0.0,6.0,17.0,34.0,180036.0,254,66
2022-08-12,11.0,0.0,2.0,3.0,7.0,180036.0,364,107
2022-08-11,15.0,1.0,4.0,13.0,25.0,180036.0,640,251
2022-08-10,21.0,1.0,3.0,3.0,24.0,180036.0,417,105
2022-08-09,28.0,0.0,3.0,13.0,22.0,180036.0,477,118
2022-08-08,23.0,0.0,1.0,5.0,11.0,180036.0,636,121
2022-08-07,17.0,0.0,4.0,28.0,12.0,180036.0,371,70
2022-08-06,21.0,1.0,1.0,8.0,10.0,180036.0,325,115
2022-08-05,19.0,0.0,3.0,6.0,13.0,180036.0,447,101
2022-08-04,20.0,2.0,5.0,13.0,13.0,180036.0,530,150
2022-08-03,19.0,0.0,1.0,13.0,18.0,180036.0,579,203
2022-08-02,26.0,1.0,1.0,12.0,21.0,180036.0,657,123
2022-08-01,28.0,1.0,4.0,11.0,11.0,180036.0,653,116
2022-07-31,25.0,2.0,4.0,32.0,60.0,180036.0,373,75
2022-07-30,23.0,0.0,3.0,20.0,29.0,180036.0,374,94
2022-07-29,23.0,1.0,1.0,6.0,1.0,180036.0,523,162
2022-07-28,31.0,3.0,7.0,36.0,34.0,180036.0,644,151
2022-07-27,33.0,0.0,2.0,12.0,14.0,180036.0,778,373
2022-07-26,37.0,0.0,5.0,17.0,21.0,180036.0,574,138
2022-07-25,36.0,0.0,1.0,19.0,17.0,180036.0,758,161
2022-07-24,28.0,1.0,7.0,34.0,32.0,180036.0,366,79
2022-07-23,30.0,0.0,1.0,9.0,22.0,180036.0,514,198
2022-07-22,38.0,0.0,0.0,11.0,15.0,180036.0,788,302
2022-07-21,57.0,1.0,3.0,24.0,28.0,180036.0,716,133
2022-07-20,43.0,0.0,1.0,4.0,7.0,180036.0,678,179
