date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-08-30,18.0,,1.0,4.0,16.0,198785.0,308,9
2022-08-29,14.0,0.0,0.0,0.0,2.0,198785.0,275,5
2022-08-28,13.0,0.0,0.0,1.0,0.0,198785.0,170,12
2022-08-27,13.0,0.0,0.0,0.0,0.0,198785.0,214,59
2022-08-26,15.0,0.0,1.0,3.0,10.0,198785.0,256,7
2022-08-25,7.0,0.0,1.0,0.0,2.0,198785.0,484,218
2022-08-24,15.0,0.0,8.0,23.0,47.0,198785.0,723,402
2022-08-23,19.0,0.0,3.0,2.0,7.0,198785.0,692,380
2022-08-22,16.0,0.0,4.0,22.0,42.0,198785.0,803,384
2022-08-21,24.0,0.0,0.0,0.0,2.0,198785.0,604,311
2022-08-20,17.0,0.0,1.0,3.0,20.0,198785.0,543,320
2022-08-19,15.0,1.0,5.0,4.0,6.0,198785.0,616,315
2022-08-18,17.0,0.0,0.0,1.0,4.0,198785.0,786,448
2022-08-17,26.0,0.0,2.0,7.0,32.0,198785.0,803,454
2022-08-16,25.0,0.0,10.0,68.0,35.0,198785.0,824,426
2022-08-15,31.0,1.0,1.0,3.0,16.0,198785.0,935,404
2022-08-14,25.0,0.0,0.0,0.0,0.0,198785.0,556,283
2022-08-13,20.0,0.0,8.0,13.0,33.0,198785.0,468,238
2022-08-12,16.0,2.0,0.0,8.0,6.0,198785.0,663,369
2022-08-11,24.0,0.0,1.0,4.0,12.0,198785.0,774,428
2022-08-10,35.0,0.0,6.0,15.0,32.0,198785.0,763,405
2022-08-09,29.0,0.0,0.0,4.0,2.0,198785.0,746,384
2022-08-08,35.0,2.0,6.0,4.0,9.0,198785.0,862,348
2022-08-07,26.0,0.0,0.0,0.0,0.0,198785.0,609,324
2022-08-06,28.0,0.0,4.0,5.0,22.0,198785.0,533,288
2022-08-05,18.0,1.0,3.0,8.0,11.0,198785.0,746,428
2022-08-04,25.0,0.0,0.0,5.0,13.0,198785.0,768,430
2022-08-03,21.0,0.0,4.0,24.0,47.0,198785.0,1001,575
2022-08-02,44.0,0.0,3.0,3.0,6.0,198785.0,856,444
2022-08-01,41.0,1.0,0.0,9.0,9.0,198785.0,1112,559
