date,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,VaccineRegisterPopulationByVaccinationDate,newVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate
2022-08-30,7.0,,1.0,8.0,14.0,142227.0,227,16
2022-08-29,10.0,0.0,2.0,4.0,5.0,142227.0,275,52
2022-08-28,6.0,0.0,1.0,7.0,3.0,142227.0,158,55
2022-08-27,11.0,0.0,1.0,9.0,12.0,142227.0,143,38
2022-08-26,8.0,0.0,4.0,11.0,25.0,142227.0,176,3
2022-08-25,6.0,1.0,3.0,9.0,12.0,142227.0,416,181
2022-08-24,7.0,0.0,2.0,8.0,3.0,142227.0,384,145
2022-08-23,8.0,0.0,9.0,11.0,14.0,142227.0,465,233
2022-08-22,13.0,3.0,5.0,10.0,15.0,142227.0,627,254
2022-08-21,7.0,1.0,1.0,2.0,4.0,142227.0,370,158
2022-08-20,13.0,0.0,6.0,7.0,6.0,142227.0,280,160
2022-08-19,8.0,0.0,6.0,12.0,6.0,142227.0,417,181
2022-08-18,15.0,0.0,2.0,7.0,8.0,142227.0,442,179
2022-08-17,16.0,1.0,4.0,3.0,17.0,142227.0,443,178
2022-08-16,11.0,0.0,4.0,16.0,16.0,142227.0,454,208
2022-08-15,16.0,1.0,3.0,11.0,17.0,142227.0,612,222
2022-08-14,15.0,0.0,8.0,5.0,8.0,142227.0,365,162
2022-08-13,13.0,0.0,3.0,11.0,8.0,142227.0,348,177
2022-08-12,14.0,1.0,6.0,7.0,5.0,142227.0,458,243
2022-08-11,17.0,0.0,3.0,5.0,6.0,142227.0,532,205
2022-08-10,20.0,0.0,1.0,5.0,10.0,142227.0,523,236
2022-08-09,19.0,1.0,2.0,13.0,11.0,142227.0,624,372
2022-08-08,18.0,1.0,7.0,10.0,13.0,142227.0,623,188
2022-08-07,29.0,0.0,1.0,6.0,3.0,142227.0,512,163
2022-08-06,23.0,1.0,3.0,14.0,13.0,142227.0,282,124
2022-08-05,10.0,1.0,3.0,13.0,17.0,142227.0,352,121
2022-08-04,23.0,3.0,7.0,12.0,11.0,142227.0,461,135
2022-08-03,19.0,0.0,8.0,15.0,10.0,142227.0,454,179
2022-08-02,25.0,1.0,4.0,15.0,12.0,142227.0,471,193
2022-08-01,28.0,1.0,4.0,17.0,15.0,142227.0,580,175
2022-07-31,21.0,0.0,4.0,10.0,13.0,142227.0,374,191
2022-07-30,12.0,0.0,2.0,15.0,13.0,142227.0,390,204
2022-07-29,25.0,0.0,8.0,26.0,38.0,142227.0,425,141
2022-07-28,27.0,0.0,6.0,16.0,15.0,142227.0,498,169
2022-07-27,27.0,0.0,3.0,18.0,24.0,142227.0,603,279
2022-07-26,41.0,1.0,3.0,13.0,13.0,142227.0,548,247
2022-07-25,31.0,0.0,6.0,16.0,22.0,142227.0,730,235
2022-07-24,45.0,2.0,5.0,6.0,11.0,142227.0,549,272
